,,old,,,,,,,,,,,,,new,,,,,,,,,,,
name,pretty_name,ergonomicsold,weightold,horizontal_recoilold,vertical_recoilold,magazine_capacityold,bullet_deviationold,bullet_damageold,bullet_velocityold,buck_bullet_deviationold,fire_rateold,priceold,strength,,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,bullet_deviation,bullet_damage,bullet_velocity,buck_bullet_deviation,fire_rate,price,strength
radian_weapons_ar15_talon_ambi_2lever_fire_selector,Radian Weapons AR15 Talon Ambi 2level Fire Selector,3,0.03,,,,,,,,,500,2.4,,1,0.03,,,,,,,,,500,0.4
radian_weapons_ar15_extended_bolt_catch,Radian Weapons AR15 Extended Bolt Catch,2,0.03,,,,,,,,,300,1.4,,1,0.03,,,,,,,,,300,0.4
radian_weapons_adac15_mag_release,Radian Weapons ADAC15 Mag Rlease,1,0.02,,,,,,,,,200,0.6,,1,0.02,,,,,,,,,200,0.6
m4a1_std_dust_cover,Colt M4 Standard,0,0.04,,,,,,,,,0,-0.8,,1,0.04,,,,,,,,,0,0.2
armaspec_rhino_r23_tactical_magwell,Armaspec Rhino R-23 Tactical,5,0.17,,-2,,,,,,,750,2.8,,4,0.17,,,,,,,,,750,0.6
ncstar_blastar_vkarmw_magwell,NcStar BlastAR VKARMW,4,0.13,-2,,,,,,,,500,3,,3,0.13,,-2,,,,,,,500,1.6
radian_weapons_ax556_adac15_lower_receiver,Radian Weapons AX556 ADAC15 Lower Receiver,8,0.45,-2,-4,,,,,,,4000,3,,6,0.42,-2,-4,,,,,,,4000,1.6
noveske_n4_gen3_ar15_lower_receiver,Noveske N4 Gen3 AR15 Lower Receiver,5,0.35,-2,-1,,,,,,,2000,0.2,,5,0.35,-2,-1,,,,,,,2000,0.2
sig_sauer_romeo_cowitness_qd_mount,Sig Sauer Romeo Cowitness QD Mount,1,0.07,,,,,,,,,400,-0.4,,-0.5,0.05,,,,,,,,,400,-1.5
romeo4t_folded_lens_caps,Romeo4T Folded Lens,4,0.05,,,,,,,,,0,3,,3,0.05,,,,,,,,,0,2
scalarworks_leap01_swo100_1.42_mount,Scalarworks Leap01 SWO 100 1.42 Mount,-1,0.04,,,,,,,,,500,-1.8,,-1,0.04,,,,,,,,,500,-1.8
scalarworks_leap01_swo110_1.57_mount,Scalarworks Leap01 SWO 110 1.57 Mount,-2,0.05,,,,,,,,,600,-3,,-1,0.05,,,,,,,,,600,-2
scalarworks_leap01_swo120_1.93_mount,Scalarworks Leap01 SWO 120 1.93 Mount,-3,0.06,,,,,,,,,750,-4.2,,-1,0.06,,,,,,,,,750,-2.2
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
battle_arms_rack_charging_handle,Battle arms rack,4,0.05,,,,,,,,,600,3,,4.5,0.07,,,,,,,,,600,3.1
bravo_comp_gunfighter_charging_handle,Bravo Company GUNFIGHTER,3,0.04,,,,,,,,,600,2.2,,3,0.03,,,,,,,,,600,2.4
diemaco_c7_ambi_charging_handle,Diemaco C7 Ambi,4,0.05,,,,,,,,,400,3,,3,0.04,,,,,,,,,400,2.2
